Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Move","Move","Adam Port;Stryv;Keinemusik;Orso;Malachiii",2024-06-07,177598,82,false,,1970-01-01T00:00:00Z,"afro house,house,melodic house,afro tech","Keinemusik",0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
spotify:track:5mCPDVBb16L4XQwDdbRUpz,"Passionfruit","More Life","Drake",2017-03-18,298940,87,true,,1970-01-01T00:00:00Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4
spotify:track:1O28S9MYZONNh5PNG1bYeC,"My Favourite Game","My Favourite Game","Odymel",2024-10-04,203015,68,false,,1970-01-01T00:00:00Z,"hard house,bounce,techno,hypertechno,trance,hard techno,eurodance","Urban",0.588,0.977,10,-4.205,1,0.0513,0.000807,0.0000975,0.0923,0.543,147.98,4
spotify:track:0SyWhkrm6yBPgqliVB7MP9,"Knees Break","Knees Break","MALUGI;MCYL",2024-10-25,148965,49,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,uk garage,bounce,techno","Method 808, distributed by gamma.",0.556,0.947,10,-5.525,0,0.0484,0.000533,0.448,0.146,0.728,144.982,4
spotify:track:37X5yubK6VKu8nEGv6fcGm,"Hotshot","All Yours","Marlon Hoffstadt;DJ Daddy Trance",2025-07-11,168947,11,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,techno,hypertechno","Capitol Records",0.538,0.976,0,-5.624,1,0.0502,0.000145,0.774,0.109,0.85,151.912,4
spotify:track:3UGzDq6YGdNFdLWjV5WxoO,"losing control (can't escape)","losing control","t e s t p r e s s",2024-03-01,281879,30,false,,1970-01-01T00:00:00Z,"hard house,eurodance,bounce,hypertechno,trance","Speedmaster Records",0.594,0.977,7,-8.354,0,0.0739,0.0191,0.622,0.0616,0.817,153.002,4
spotify:track:7Ix1YfRHAELxNIFqkzQdWl,"Yosemite - Philip George Remix","Yosemite (Philip George Remix)","KETTAMA;Interplanetary Criminal;Philip George",2025-05-20,275000,3,false,,1970-01-01T00:00:00Z,"hard house,uk garage,house,breakbeat","Steel City Dance Discs",0.676,0.926,5,-6.47,0,0.0419,0.0445,0.651,0.128,0.335,129.998,4
spotify:track:6Jc5bKaiEWfus0Hcd1WROK,"Intern","CHOSEN","CHO;Idaly",2021-05-13,238742,55,true,,1970-01-01T00:00:00Z,"","New Vintage College / Top Notch Music BV",0.685,0.542,11,-8.898,0,0.391,0.305,0.00000743,0.112,0.396,90.918,4
spotify:track:4hACcQfF5dtAzN0CW7vCAF,"Wait For Me","Miracles","DATSKO",2024-04-27,217866,1,false,,1970-01-01T00:00:00Z,"rally house,hard house,house,lo-fi house","Reboot Records IRE",0.45,0.993,11,-4.877,0,0.0557,0.0773,0.666,0.137,0.783,150.041,4
spotify:track:3IRWkMj7HHGYrZmZKDs1eB,"Tonight","Tonight' EP","WAND7R",2023-01-20,235290,14,false,,1970-01-01T00:00:00Z,"","Ref City Records",0.794,0.96,0,-6.506,0,0.0669,0.527,0.403,0.0959,0.665,126.993,4
spotify:track:6Yj7Zhxt73uvwFFvzQXdxO,"Flight's Booked","Honestly, Nevermind","Drake",2022-06-17,254407,71,false,,1970-01-01T00:00:00Z,"rap","OVO",0.593,0.41,3,-13.097,0,0.0531,0.886,0.0993,0.115,0.201,122.584,4
spotify:track:4lq48b16GxnFcPHUHJ3FK8,"Step By Step","Step By Step","Marsolo",2025-01-31,179779,56,false,,1970-01-01T00:00:00Z,"house,tech house","Three Six Zero Recordings",0.808,0.954,11,-7.342,0,0.0706,0.0755,0.878,0.0319,0.755,132.032,4
spotify:track:2uHs3qxKIN5Te8PIv2hAya,"Move Ya","Move Ya","Jacky Ickx;CARGO",2024-04-03,253875,25,false,,1970-01-01T00:00:00Z,"bounce,hard house","Polyamor Records",0.731,0.901,7,-4.215,1,0.0801,0.000707,0.725,0.0879,0.758,160,4
spotify:track:3XqM8hLCEYlbnFjoWwqtFv,"Angel Numbers / Ten Toes","11:11","Chris Brown",2023-11-10,306847,78,true,,1970-01-01T00:00:00Z,"r&b","Chris Brown Entertainment/RCA Records",0.406,0.5,4,-8.452,0,0.0501,0.192,0,0.175,0.0905,157.984,4
spotify:track:0NZdEb4FIYj30IVRlzaY30,"Walking On A Dream - Marlon Hoffstadt Remix","Walking On A Dream (Marlon Hoffstadt Remix)","Empire Of The Sun;Marlon Hoffstadt",2025-08-22,236530,47,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,techno","EMI Recorded Music Australia Pty Ltd",0.61,0.967,8,-5.816,1,0.0373,0.00693,0.171,0.14,0.505,147.008,4
spotify:track:6I68T8LKGawrgQHUGwCkn8,"WACK MF","WACK MF","Fenrick;Odymel",2024-08-29,232087,20,false,,1970-01-01T00:00:00Z,"hard techno,techno,hard house,acid techno,bounce,tekno,hypertechno,trance,eurodance","Hot Meal Records",0.608,0.998,6,-3.171,0,0.138,0.00214,0.815,0.348,0.23,75.058,4
spotify:track:6NOrpcicPUh2eaj8bAD44u,"Baby (Is it a Crime)","Baby (Is it a Crime)","Rema",2025-02-07,164151,72,false,,1970-01-01T00:00:00Z,"afrobeats,afrobeat,afropop,afropiano","Mavin Global Holdings Ltd",0.58,0.665,5,-4.659,0,0.0438,0.0751,0.00000432,0.39,0.695,129.915,5
spotify:track:0NUqi0ps17YpLUC3kgsZq0,"DIE TRYING","$ome $exy $ongs 4 U","PARTYNEXTDOOR;Drake;Yebba",2025-02-14,195431,83,true,,1970-01-01T00:00:00Z,"dark r&b,r&b,trap soul,rap","OVO Sound",0.763,0.531,11,-6.154,1,0.0328,0.146,0,0.175,0.665,110.497,4
spotify:track:7iQXYTyuG13aoeHxGG28Nh,"PERRO NEGRO","nadie sabe lo que va a pasar mañana","Bad Bunny;Feid",2023-10-13,162767,84,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.911,0.778,5,-2.248,1,0.262,0.0887,0.0000216,0.179,0.345,96.057,4
