TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.111962,0.137864,0.126549,0.0602425,1.92568,9.35481,5.4464,0.140819,0.11066,0.154191,0.250028,0.328666,0.113386,0.0447184,0.818009,5.37051,3.51575,0.0618323,0.0330389,0.0563369,0.136055,0.176236,0.0604148,0.030956,0.698241,6.63191,5.83027,0.346917,0.0514599,0.183833,0.422582,0.472461,0.181047,0.0292874,0.297456,4.10217,4.32469,0.229161,0.029738,0.0548857,0.0958802,0.0961673,0.124448,0.181263,0.363626,6.3351,8.32016,1.1519,0.1169,0.139523,0.214696,0.367577,0.210454,0.0635851,0.160357,3.02687,4.85727,0.5242,0.011777,0.0454795,0.150586,0.135639,0.041735,0.0607243,0.0500148,3.74476,7.75882,1.65452,0.0202313,0.130846,0.463431,0.489555,0.257747,0.0589093,0.0140479,1.73191,4.97209,1.08948,0.0103272,0.0766212,0.0845547
1.486077098,0.205654,0.137864,0.126549,0.0602425,2.20875,11.0038,6.42919,0.179243,0.190541,0.422762,0.449635,0.328666,0.113386,0.0447184,0.871431,6.11942,4.1343,0.076511,0.0330389,0.0825417,0.194248,0.176236,0.0604148,0.030956,0.853859,8.41276,7.50763,0.482142,0.0514599,0.183833,0.422582,0.472461,0.181047,0.0292874,0.303057,4.82621,5.20588,0.298683,0.029738,0.0548857,0.0958802,0.0961673,0.124448,0.181263,0.381575,7.76339,10.2678,1.47999,0.1169,0.139523,0.214696,0.367577,0.210454,0.0635851,0.160357,3.70908,5.85156,0.727504,0.011777,0.0454795,0.150586,0.135639,0.041735,0.0607243,0.0500148,4.98763,9.92614,2.26399,0.0202313,0.130846,0.463431,0.489555,0.257747,0.0589093,0.0140479,2.29684,6.07644,1.46468,0.0103272,0.0766212,0.0845547
2.972154195,0.205654,0.137864,0.126549,0.0602425,2.31693,12.4818,7.15096,0.195557,0.190541,0.427734,0.449635,0.328666,0.113386,0.0447184,0.895336,6.81324,4.46687,0.0837234,0.0349992,0.136078,0.229574,0.176236,0.0604148,0.030956,0.901538,9.46275,8.22831,0.602323,0.0795161,0.373743,0.592785,0.472461,0.181047,0.0292874,0.310189,5.25109,5.44509,0.302622,0.030135,0.128248,0.201098,0.0961673,0.124448,0.181263,0.43605,8.66385,11.1454,1.61246,0.125272,0.327386,0.425575,0.381389,0.210454,0.0635851,0.160357,4.01057,6.36474,0.760658,0.011777,0.124517,0.285206,0.14,0.041735,0.0607243,0.0702015,5.55057,11.0028,2.3178,0.0202313,0.271076,0.728132,0.589455,0.257747,0.0589093,0.0140479,2.45369,6.78817,1.5022,0.0103272,0.0766212,0.130565
4.458231293,0.238604,0.206384,0.152367,0.0602425,2.67901,13.6607,7.89972,0.195557,0.190548,0.457373,0.522442,0.447106,0.175084,0.0447184,0.909838,6.89428,4.60384,0.0837234,0.0441506,0.185628,0.301737,0.374313,0.225775,0.0322775,1.06277,10.0568,8.83268,0.603574,0.121647,0.547506,0.769467,0.616985,0.298116,0.0336302,0.320567,5.42067,5.86186,0.307785,0.030135,0.128248,0.201098,0.27105,0.362922,0.241925,0.469419,9.01346,11.8344,1.67654,0.157029,0.48871,0.628701,0.429278,0.255971,0.0665204,0.16305,4.23562,6.88144,0.821947,0.011777,0.124518,0.289269,0.305078,0.278421,0.139668,0.0756207,5.95337,12.0788,2.54412,0.0202313,0.272331,0.731739,0.658019,0.342947,0.0839259,0.0140479,2.60194,7.23906,1.59634,0.0103272,0.0824023,0.143645
5.944308390,0.265832,0.260537,0.175776,0.0602425,2.77775,14.7662,8.47415,0.202051,0.190548,0.488395,0.557792,0.526185,0.209056,0.0458334,0.922967,7.60628,5.02306,0.0896713,0.0441506,0.218605,0.309571,0.558571,0.367845,0.0595811,1.06622,10.7216,9.35899,0.637626,0.121647,0.702045,0.931995,0.723128,0.376627,0.0492189,0.329379,5.95689,6.34576,0.334319,0.030135,0.128294,0.206661,0.458581,0.577991,0.300307,0.472479,9.75391,12.75,1.84348,0.157029,0.48871,0.630475,0.43462,0.257784,0.0665204,0.164998,4.62256,7.38284,0.900481,0.0140031,0.172945,0.389909,0.453292,0.487674,0.20277,0.0763704,6.39465,12.8764,2.82489,0.0209117,0.355296,0.922993,0.675877,0.380225,0.0972708,0.0144855,2.70421,7.68792,1.62493,0.0103272,0.108373,0.209071
7.430385488,0.301892,0.331531,0.175776,0.0602425,3.14117,16.0689,9.2699,0.202051,0.190548,0.535896,0.584207,0.575008,0.2354,0.0458334,1.02928,8.22531,5.49734,0.0896713,0.0441506,0.284613,0.367148,0.731409,0.493232,0.0595811,1.2478,11.7086,10.2712,0.637626,0.121647,0.707151,0.948591,0.78994,0.452348,0.0492189,0.354791,6.42357,6.92628,0.334319,0.030135,0.137147,0.238197,0.607241,0.764092,0.300307,0.509622,10.2141,13.4482,1.84348,0.157029,0.629092,0.83882,0.442703,0.257784,0.0665204,0.1665,4.92256,7.97442,0.905897,0.0140031,0.209963,0.502051,0.518221,0.671023,0.20277,0.0763704,6.77419,13.6987,2.96037,0.0209117,0.41949,1.11873,0.685939,0.433949,0.0972708,0.0144855,3.01162,8.50667,1.77547,0.0103272,0.110969,0.282201
8.916462585,0.409481,0.394298,0.177709,0.0602425,3.35396,17.51,10.2279,0.236511,0.190548,0.541363,0.594099,0.601907,0.240318,0.0458334,1.0726,8.74123,5.95533,0.0999599,0.0441506,0.301066,0.42944,0.912193,0.643617,0.0595811,1.26657,12.5659,11.1059,0.707664,0.121647,0.871558,1.08077,0.86161,0.527715,0.0492189,0.358696,6.8519,7.36963,0.388684,0.030135,0.148012,0.258813,0.715886,0.947228,0.30789,0.509622,10.979,14.3244,1.9821,0.157029,0.788342,1.04226,0.526118,0.274567,0.0665204,0.1665,5.31998,8.53971,1.01776,0.0140031,0.273206,0.587638,0.638048,0.859892,0.23264,0.0763704,7.51817,14.8335,3.27072,0.0209117,0.523177,1.31044,0.79784,0.504547,0.103251,0.0144855,3.34703,9.10614,2.01455,0.0103272,0.132538,0.357004
10.402539683,0.409481,0.394298,0.177709,0.0602425,3.45707,18.9648,10.9091,0.251281,0.190548,0.594456,0.647049,0.617763,0.249498,0.0458334,1.10099,9.29708,6.20322,0.103027,0.0499843,0.354141,0.483308,0.917412,0.645844,0.0595811,1.31132,13.6011,11.8899,0.812411,0.148609,1.05101,1.23834,0.867891,0.527911,0.0492189,0.373099,7.23722,7.70073,0.392475,0.030135,0.162771,0.30401,0.715886,0.947228,0.30789,0.559586,11.8457,15.3396,2.11404,0.163739,0.950352,1.20766,0.546439,0.289761,0.0665204,0.167569,5.55379,8.95607,1.05293,0.0140031,0.341008,0.702071,0.640927,0.867557,0.23264,0.0923909,8.02219,15.8967,3.34387,0.0209117,0.653255,1.54596,0.882726,0.52242,0.104022,0.0144855,3.4756,9.60665,2.05197,0.0103272,0.135597,0.409252
11.888616780,0.437152,0.456934,0.201762,0.0602425,3.80673,20.0904,11.6237,0.251281,0.191497,0.626709,0.714979,0.712608,0.299827,0.0458334,1.11522,9.39221,6.35512,0.103027,0.0606217,0.401161,0.538631,1.08963,0.799012,0.0618104,1.46947,14.1817,12.4711,0.814674,0.192027,1.21617,1.39406,0.985338,0.619318,0.0511061,0.383426,7.41495,8.11265,0.396253,0.030135,0.162771,0.30401,0.871254,1.15977,0.362723,0.591827,12.2037,16.0062,2.17688,0.19409,1.09938,1.38628,0.583481,0.319288,0.0666434,0.171645,5.77401,9.41921,1.10346,0.0140031,0.341101,0.705051,0.785637,1.08633,0.309638,0.0960074,8.41401,16.9343,3.5661,0.0209117,0.654302,1.54841,0.940972,0.593793,0.125701,0.0144855,3.61296,10.0165,2.14056,0.0103272,0.139871,0.416625
