0.292997,0.647248,0.820264,0.897455,0.313254,0,0,0.495991,0.556893,0.190797,0.0260798,0.0145824,1.63453,0.672038,0.809125,0.425921,0.773245,0.0168688,0.591544,0.43177,0.401763,1.24704,1.01935,0.581799
0.17084,0.00450604,0.410834,0.712034,1.52326,0.0662456,0.0819343,0.0276497,0.44488,1.11869,0.380728,0.373621,1.4299,0.468871,1.12395,0.412146,0.954801,0.0272259,0.491484,0.0736604,0.234753,1.85118,0.757197,0.0957617
0.329302,0,0.744109,0.0717208,1.15037,0.487328,0.0227489,0,0.623927,1.19328,0.131759,0.0031997,0.978218,0.530292,1.41684,0.0145008,0.835633,0.162652,0.406722,0.0969511,0.262501,2.02278,0.679875,0.12766
0.23811,0.524608,0.768774,0.344874,0.906793,0.57382,0,0,0.520434,1.22272,0,0.00483284,0.70103,0.468439,1.46142,0.145749,0.6645,0.289848,0.640754,0.0270085,0.256545,2.07474,0.288551,0.774771
0.273654,0.713614,1.37845,0.738681,0.491708,0.452817,0,0,0.443992,1.04686,0,0.00880725,0.312737,0.396376,1.39261,0.386304,0.373103,0.328948,0.679087,0.0415756,0.218863,1.90377,0.0684571,1.50946
0.357025,0.735073,1.53825,0.509276,0.051956,0.262349,0.0440162,0,0.426116,0.523863,0,0.0121375,0.0961598,0.347567,1.18386,0.352804,0.0295211,0.34387,0.424701,0,0.210051,1.53658,0.00138965,2.55505
0.417244,0.745965,1.52054,0.305429,0.0129496,0.258983,0.310373,0,0.206116,0.152895,0,0.00472395,0.112379,0.349631,0.607073,0.291308,0.00265851,0.375597,0.455137,0,0.101847,1.1727,0.00816838,2.61092
0.749752,0.733425,1.34576,0.133276,0,0.172822,0.188941,0,0.069409,0.015572,0,0.235286,0.201936,0.208622,1.44453,0.229016,0.053795,0.237453,0.309262,0,0.042546,0.891861,0.10618,2.20532
0.986417,1.26175,0.747027,0.0573541,0,0.010019,0.0384627,0,0,0.00305077,0.246917,0.655821,0.265678,0.502767,1.40507,0.165643,0,0.0630456,0.260313,0,0.0242719,1.28177,0.352851,1.79467
0.00046669,0,0.927371,0.513595,0.125102,0.0195158,0.0341002,0.410884,0.635679,0.487035,0.636397,0.196995,0.0911021,0.818284,0.529145,0.198157,0.209248,0.0619063,0.363912,0.0904444,0.178987,2.01995,0.652551,1.11133
